option_strategy,sigma,strike_base,window_size_ratio,expire_period,Close price,Strike,Option gain,Option gain est,Loss percent,Loss std,Average loss,Loss expect,Profit daily %
CALL_ONLY,0.800,CLOSE_PRICE,2,5,172.620,177.059,95.500,8.353,35.556,250.168,256.374,91.155,0.005
CALL_ONLY,0.800,CLOSE_PRICE,2,30,172.620,181.349,27.500,12.082,47.778,613.195,648.968,310.063,-0.055
CALL_ONLY,0.800,CLOSE_PRICE,5,5,172.620,175.777,95.500,47.497,33.333,250.201,253.898,84.633,0.013
CALL_ONLY,0.800,CLOSE_PRICE,5,30,172.620,181.640,27.500,1.120,41.111,590.439,699.277,287.480,-0.050
CALL_ONLY,0.800,CLOSE_PRICE,8,5,172.620,175.868,95.500,44.417,33.333,249.598,254.909,84.970,0.012
CALL_ONLY,0.800,CLOSE_PRICE,8,30,172.620,181.637,27.500,1.230,26.667,637.367,779.581,207.888,-0.035
CALL_ONLY,0.800,MOV_AVG,2,5,172.620,176.095,95.500,36.743,45.556,288.085,361.318,164.601,-0.080
CALL_ONLY,0.800,MOV_AVG,2,30,172.620,194.119,3.500,-95.971,63.889,827.652,1233.346,787.971,-0.151
CALL_ONLY,0.800,MOV_AVG,5,5,172.620,181.848,27.500,-5.534,43.889,414.779,551.442,242.022,-0.249
CALL_ONLY,0.800,MOV_AVG,5,30,172.620,192.179,5.000,-92.057,87.222,1041.413,1654.963,1443.496,-0.278
CALL_ONLY,0.800,MOV_AVG,8,5,172.620,186.389,10.500,-50.824,41.111,511.295,728.121,299.339,-0.335
CALL_ONLY,0.800,MOV_AVG,8,30,172.620,190.820,5.000,-84.762,100.000,1187.009,2076.855,2076.855,-0.400
CALL_ONLY,0.900,CLOSE_PRICE,2,5,172.620,177.614,54.000,65.473,31.667,246.198,249.831,79.113,-0.029
CALL_ONLY,0.900,CLOSE_PRICE,2,30,172.620,182.440,27.500,-21.027,42.222,612.311,610.846,257.913,-0.044
CALL_ONLY,0.900,CLOSE_PRICE,5,5,172.620,176.171,95.500,34.171,29.444,246.493,239.708,70.581,0.029
CALL_ONLY,0.900,CLOSE_PRICE,5,30,172.620,182.767,17.500,10.658,33.333,573.039,674.181,224.727,-0.040
CALL_ONLY,0.900,CLOSE_PRICE,8,5,172.620,176.274,95.500,30.706,31.111,245.207,244.711,76.132,0.022
CALL_ONLY,0.900,CLOSE_PRICE,8,30,172.620,182.764,17.500,10.793,21.111,617.966,755.313,159.455,-0.027
CALL_ONLY,0.900,MOV_AVG,2,5,172.620,176.647,95.500,19.340,43.333,275.929,346.407,150.110,-0.063
CALL_ONLY,0.900,MOV_AVG,2,30,172.620,195.287,2.500,-96.864,56.667,807.920,1181.908,669.748,-0.129
CALL_ONLY,0.900,MOV_AVG,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,MOV_AVG,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,MOV_AVG,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,0.900,MOV_AVG,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,MOV_AVG,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,MOV_AVG,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,MOV_AVG,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,MOV_AVG,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,MOV_AVG,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CALL_ONLY,1.100,MOV_AVG,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PUT_ONLY,0.800,CLOSE_PRICE,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PUT_ONLY,0.800,CLOSE_PRICE,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PUT_ONLY,0.800,CLOSE_PRICE,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PUT_ONLY,0.800,CLOSE_PRICE,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PUT_ONLY,0.800,CLOSE_PRICE,8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PUT_ONLY,0.800,CLOSE_PRICE,8,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PUT_ONLY,0.800,MOV_AVG,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PUT_ONLY,0.800,MOV_AVG,2,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
